============================================================
  RUNG 5: GPT-2 WITH GENOME-CONTROLLED CONNECTIVITY
  354 parameters grow GPT-2.
============================================================
  Config: full
  Device: cuda
  Dtype: bfloat16
  Layers: 12, Hidden: 768, FF: 3072
  Block size: 1024, Batch: 12
  Grad accum: 40
  Tokens/iter: 491,520
  Max iters: 100,000
  Dataset: openwebtext

============================================================
  Training: genome
============================================================
  Genome params: 354
  Total params: 124,430,946
  Compiling model with torch.compile...
  Resuming from iter 30300...
  iter  36300 | train 3.0808 | val 3.0961 | lr 4.53e-04 | 122521 tok/s | hard=71.3% soft=73.4% temp=7.5 sp=22.8917
  iter  36400 | train 3.0794 | val 3.0946 | lr 4.52e-04 | 122533 tok/s | hard=71.3% soft=73.5% temp=7.6 sp=22.8781
  iter  36500 | train 3.0806 | val 3.0773 | lr 4.51e-04 | 122529 tok/s | hard=71.2% soft=73.4% temp=7.6 sp=22.8764
  iter  36600 | train 3.0658 | val 3.1086 | lr 4.50e-04 | 122523 tok/s | hard=71.3% soft=73.5% temp=7.6 sp=22.8915
  iter  36700 | train 3.0796 | val 3.0984 | lr 4.49e-04 | 122524 tok/s | hard=71.3% soft=73.5% temp=7.6 sp=22.8690
  iter  36800 | train 3.0837 | val 3.0963 | lr 4.49e-04 | 122528 tok/s | hard=71.3% soft=73.5% temp=7.6 sp=22.8793
  iter  36900 | train 3.0887 | val 3.0843 | lr 4.48e-04 | 122530 tok/s | hard=71.3% soft=73.6% temp=7.6 sp=22.8801
  iter  37000 | train 3.0872 | val 3.0901 | lr 4.47e-04 | 122535 tok/s | hard=71.3% soft=73.5% temp=7.7 sp=22.8638
  iter  37100 | train 3.0828 | val 3.0878 | lr 4.46e-04 | 122527 tok/s | hard=71.3% soft=73.5% temp=7.7 sp=22.8420
  iter  37200 | train 3.0769 | val 3.0885 | lr 4.46e-04 | 122525 tok/s | hard=71.3% soft=73.6% temp=7.7 sp=22.8583
  iter  37300 | train 3.0922 | val 3.0760 | lr 4.45e-04 | 122496 tok/s | hard=71.3% soft=73.6% temp=7.7 sp=22.8429
  iter  37400 | train 3.0772 | val 3.0887 | lr 4.44e-04 | 122470 tok/s | hard=71.3% soft=73.7% temp=7.7 sp=22.8441
  iter  37500 | train 3.0924 | val 3.0857 | lr 4.43e-04 | 122470 tok/s | hard=71.3% soft=73.6% temp=7.8 sp=22.8555
  iter  37600 | train 3.0700 | val 3.0697 | lr 4.42e-04 | 122481 tok/s | hard=71.3% soft=73.6% temp=7.8 sp=22.8553
  iter  37700 | train 3.0757 | val 3.0949 | lr 4.42e-04 | 122463 tok/s | hard=71.4% soft=73.8% temp=7.8 sp=22.8555
  iter  37800 | train 3.0829 | val 3.1049 | lr 4.41e-04 | 122443 tok/s | hard=71.3% soft=73.7% temp=7.8 sp=22.8405
  iter  37900 | train 3.0903 | val 3.0827 | lr 4.40e-04 | 122431 tok/s | hard=71.3% soft=73.7% temp=7.8 sp=22.8280
  iter  38000 | train 3.0783 | val 3.0691 | lr 4.39e-04 | 122430 tok/s | hard=71.4% soft=73.9% temp=7.8 sp=22.8315
  iter  38100 | train 3.0642 | val 3.0885 | lr 4.38e-04 | 122400 tok/s | hard=71.4% soft=73.8% temp=7.9 sp=22.8284
  iter  38200 | train 3.0777 | val 3.0825 | lr 4.38e-04 | 122386 tok/s | hard=71.4% soft=73.8% temp=7.9 sp=22.8320
  iter  38300 | train 3.0724 | val 3.0991 | lr 4.37e-04 | 122395 tok/s | hard=71.4% soft=73.9% temp=7.9 sp=22.8221
  iter  38400 | train 3.0756 | val 3.0795 | lr 4.36e-04 | 122402 tok/s | hard=71.4% soft=73.8% temp=7.9 sp=22.8259
  iter  38500 | train 3.0840 | val 3.0801 | lr 4.35e-04 | 122409 tok/s | hard=71.4% soft=73.9% temp=7.9 sp=22.8242
  iter  38600 | train 3.0754 | val 3.0810 | lr 4.35e-04 | 122417 tok/s | hard=71.4% soft=73.9% temp=7.9 sp=22.8186
  iter  38700 | train 3.0797 | val 3.0630 | lr 4.34e-04 | 122424 tok/s | hard=71.4% soft=73.8% temp=8.0 sp=22.8180
  iter  38800 | train 3.0797 | val 3.0891 | lr 4.33e-04 | 122429 tok/s | hard=71.4% soft=73.9% temp=8.0 sp=22.8229
  iter  38900 | train 3.0622 | val 3.0913 | lr 4.32e-04 | 122438 tok/s | hard=71.4% soft=73.9% temp=8.0 sp=22.8078
  iter  39000 | train 3.0891 | val 3.0743 | lr 4.31e-04 | 122449 tok/s | hard=71.4% soft=74.1% temp=8.0 sp=22.7974
  iter  39100 | train 3.0796 | val 3.0717 | lr 4.31e-04 | 122456 tok/s | hard=71.4% soft=73.9% temp=8.0 sp=22.8152
  iter  39200 | train 3.0605 | val 3.0816 | lr 4.30e-04 | 122457 tok/s | hard=71.4% soft=74.1% temp=8.1 sp=22.8035
  iter  39300 | train 3.0816 | val 3.0733 | lr 4.29e-04 | 122458 tok/s | hard=71.4% soft=74.1% temp=8.1 sp=22.8203
  iter  39400 | train 3.0815 | val 3.0787 | lr 4.28e-04 | 122461 tok/s | hard=71.4% soft=74.0% temp=8.1 sp=22.8033
  iter  39500 | train 3.0651 | val 3.0714 | lr 4.27e-04 | 122465 tok/s | hard=71.4% soft=74.1% temp=8.1 sp=22.8184
  iter  39600 | train 3.0682 | val 3.0878 | lr 4.26e-04 | 122468 tok/s | hard=71.4% soft=74.1% temp=8.1 sp=22.7867
  iter  39700 | train 3.0730 | val 3.0866 | lr 4.26e-04 | 122475 tok/s | hard=71.4% soft=74.2% temp=8.1 sp=22.7908
  iter  39800 | train 3.0699 | val 3.0830 | lr 4.25e-04 | 122482 tok/s | hard=71.5% soft=74.2% temp=8.2 sp=22.7873
  iter  39900 | train 3.0851 | val 3.0758 | lr 4.24e-04 | 122488 tok/s | hard=71.4% soft=74.2% temp=8.2 sp=22.7853
  iter  40000 | train 3.0802 | val 3.0748 | lr 4.23e-04 | 122492 tok/s | hard=71.5% soft=74.3% temp=8.2 sp=22.7789
  iter  40100 | train 3.0846 | val 3.0796 | lr 4.22e-04 | 122465 tok/s | hard=71.5% soft=74.3% temp=8.2 sp=22.7896
  iter  40200 | train 3.0735 | val 3.0897 | lr 4.22e-04 | 122470 tok/s | hard=71.5% soft=74.2% temp=8.2 sp=22.7778
  iter  40300 | train 3.0662 | val 3.0896 | lr 4.21e-04 | 122477 tok/s | hard=71.5% soft=74.3% temp=8.3 sp=22.7952
  iter  40400 | train 3.0751 | val 3.0857 | lr 4.20e-04 | 122473 tok/s | hard=71.5% soft=74.3% temp=8.3 sp=22.7898
  iter  40500 | train 3.0590 | val 3.0764 | lr 4.19e-04 | 122473 tok/s | hard=71.5% soft=74.3% temp=8.3 sp=22.7749
  iter  40600 | train 3.0676 | val 3.0777 | lr 4.18e-04 | 122474 tok/s | hard=71.5% soft=74.3% temp=8.3 sp=22.7636
  iter  40700 | train 3.0820 | val 3.0841 | lr 4.18e-04 | 122477 tok/s | hard=71.5% soft=74.4% temp=8.3 sp=22.7732
  iter  40800 | train 3.0624 | val 3.0834 | lr 4.17e-04 | 122477 tok/s | hard=71.5% soft=74.4% temp=8.3 sp=22.7604
  iter  40900 | train 3.0801 | val 3.0806 | lr 4.16e-04 | 122481 tok/s | hard=71.5% soft=74.4% temp=8.4 sp=22.7730
  iter  41000 | train 3.0627 | val 3.0779 | lr 4.15e-04 | 122484 tok/s | hard=71.5% soft=74.4% temp=8.4 sp=22.7686
  iter  41100 | train 3.0735 | val 3.0857 | lr 4.14e-04 | 122487 tok/s | hard=71.5% soft=74.5% temp=8.4 sp=22.7722
  iter  41200 | train 3.0798 | val 3.0735 | lr 4.13e-04 | 122488 tok/s | hard=71.5% soft=74.5% temp=8.4 sp=22.7814
  iter  41300 | train 3.0584 | val 3.0866 | lr 4.13e-04 | 122493 tok/s | hard=71.5% soft=74.4% temp=8.4 sp=22.7565
  iter  41400 | train 3.0754 | val 3.0830 | lr 4.12e-04 | 122496 tok/s | hard=71.5% soft=74.6% temp=8.5 sp=22.7509
  iter  41500 | train 3.0698 | val 3.0785 | lr 4.11e-04 | 122499 tok/s | hard=71.5% soft=74.6% temp=8.5 sp=22.7638
  iter  41600 | train 3.0658 | val 3.0848 | lr 4.10e-04 | 122501 tok/s | hard=71.5% soft=74.6% temp=8.5 sp=22.7698
  iter  41700 | train 3.0642 | val 3.0670 | lr 4.09e-04 | 122502 tok/s | hard=71.6% soft=74.7% temp=8.5 sp=22.7592
  iter  41800 | train 3.0747 | val 3.0668 | lr 4.08e-04 | 122506 tok/s | hard=71.5% soft=74.6% temp=8.5 sp=22.7577
  iter  41900 | train 3.0626 | val 3.0643 | lr 4.08e-04 | 122506 tok/s | hard=71.6% soft=74.7% temp=8.5 sp=22.7448
  iter  42000 | train 3.0852 | val 3.0875 | lr 4.07e-04 | 122507 tok/s | hard=71.5% soft=74.6% temp=8.6 sp=22.7421
  iter  42100 | train 3.0685 | val 3.0813 | lr 4.06e-04 | 122511 tok/s | hard=71.6% soft=74.7% temp=8.6 sp=22.7657
  iter  42200 | train 3.0696 | val 3.0888 | lr 4.05e-04 | 122510 tok/s | hard=71.6% soft=74.7% temp=8.6 sp=22.7540
  iter  42300 | train 3.0648 | val 3.0663 | lr 4.04e-04 | 122513 tok/s | hard=71.6% soft=74.7% temp=8.6 sp=22.7598
  iter  42400 | train 3.0707 | val 3.0719 | lr 4.03e-04 | 122516 tok/s | hard=71.5% soft=74.6% temp=8.6 sp=22.7573
  iter  42500 | train 3.0670 | val 3.0709 | lr 4.03e-04 | 122516 tok/s | hard=71.6% soft=74.7% temp=8.6 sp=22.7707
  iter  42600 | train 3.0695 | val 3.0813 | lr 4.02e-04 | 122517 tok/s | hard=71.6% soft=74.8% temp=8.7 sp=22.7637
  iter  42700 | train 3.0730 | val 3.0661 | lr 4.01e-04 | 122516 tok/s | hard=71.6% soft=74.8% temp=8.7 sp=22.7588
  iter  42800 | train 3.0709 | val 3.0678 | lr 4.00e-04 | 122519 tok/s | hard=71.6% soft=74.9% temp=8.7 sp=22.7787
  iter  42900 | train 3.0688 | val 3.0717 | lr 3.99e-04 | 122522 tok/s | hard=71.6% soft=74.8% temp=8.7 sp=22.7974
  iter  43000 | train 3.0787 | val 3.0696 | lr 3.98e-04 | 122523 tok/s | hard=71.6% soft=74.8% temp=8.7 sp=22.7535
